"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_M","Male","AGE_AGGREGATE_Y15-24","Age (Aggregate bands): 15-24","2025",1580.383,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_M","Male","AGE_AGGREGATE_Y25-54","Age (Aggregate bands): 25-54","2025",4467.075,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_M","Male","AGE_AGGREGATE_Y55-64","Age (Aggregate bands): 55-64","2025",519.41,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_M","Male","AGE_AGGREGATE_YGE65","Age (Aggregate bands): 65+","2025",267.83,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_F","Female","AGE_AGGREGATE_YGE15","Age (Aggregate bands): 15+","2025",7150.286,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_F","Female","AGE_AGGREGATE_Y15-24","Age (Aggregate bands): 15-24","2025",1739.591,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_F","Female","AGE_AGGREGATE_Y25-54","Age (Aggregate bands): 25-54","2025",4486.45,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_F","Female","AGE_AGGREGATE_Y55-64","Age (Aggregate bands): 55-64","2025",595.142,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_F","Female","AGE_AGGREGATE_YGE65","Age (Aggregate bands): 65+","2025",329.103,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)","SEX_T","Total","AGE_10YRBANDS_YGE15","Age (10-year bands): 15+","2025",13984.984,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
