"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_1","Status in employment (ICSE-93): 1. Employees","2025",2534.774,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_2","Status in employment (ICSE-93): 2. Employers","2025",1013.356,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_3","Status in employment (ICSE-93): 3. Own-account workers","2025",2278.47,,,"C2:6257","Nonstandard status in employment group: Including contributing family workers in subsistence farming",,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_4","Status in employment (ICSE-93): 4. Members of producers' cooperatives","2025",15.101,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_5","Status in employment (ICSE-93): 5. Contributing family workers","2025",889.346,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_6","Status in employment (ICSE-93): 6. Workers not classifiable by status","2025",103.65,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_TOTAL","Status in employment (ICSE-93): Total","2025",7150.286,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_1","Status in employment (ICSE-93): 1. Employees","2025",1253.382,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_2","Status in employment (ICSE-93): 2. Employers","2025",566.491,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_3","Status in employment (ICSE-93): 3. Own-account workers","2025",3900.7,,,"C2:6257","Nonstandard status in employment group: Including contributing family workers in subsistence farming",,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_4","Status in employment (ICSE-93): 4. Members of producers' cooperatives","2025",2.434,"U","Unreliable",,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_5","Status in employment (ICSE-93): 5. Contributing family workers","2025",1283.721,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_6","Status in employment (ICSE-93): 6. Workers not classifiable by status","2025",143.558,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_TOTAL","Status in employment (Aggregate): Total","2024",12697.454,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_EES","Status in employment (Aggregate): Employees","2024",3350.072,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_SLF","Status in employment (Aggregate): Self-employed","2024",9126.396,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_X","Status in employment (Aggregate): Workers not classifiable by status","2024",220.986,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_TOTAL","Status in employment (Aggregate): Total","2024",6207.083,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_EES","Status in employment (Aggregate): Employees","2024",2291.774,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_SLF","Status in employment (Aggregate): Self-employed","2024",3821.134,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
